"route_id","service_id","trip_id","trip_headsign","direction_id","shape_id"
"2626-10","USD","2626-10-1","Jd. Nazaré","1","62616"
"263C-10","USD","263C-10-0","Cohab Ii","0","70181"
"263C-10","USD","263C-10-1","Jd. Helena","1","79109"
"263J-10","USD","263J-10-0","Conj. José Bonifácio","0","71599"
"263J-10","USD","263J-10-1","Penha","1","71600"
"2666-10","USD","2666-10-0","Term. Pq. D. Pedro Ii","0","71848"
"2666-10","USD","2666-10-1","Jd. Camargo Velho","1","71849"
"2666-21","U__","2666-21-0","Term. Pq. D. Pedro Ii","0","70122"
"2678-10","USD","2678-10-0","Term. Pq. D. Pedro Ii","0","73074"
"2678-10","USD","2678-10-1","Oliveirinha","1","73075"
"2678-41","U__","2678-41-0","Term. Pq. D. Pedro Ii","0","73076"
"2702-10","USD","2702-10-0","Metrô Artur Alvim","0","73065"
"2702-10","USD","2702-10-1","Vl. Americana","1","73066"
"2702-21","U__","2702-21-0","Metrô Artur Alvim","0","52716"
"2703-10","USD","2703-10-0","Metrô Itaquera","0","78721"
"2703-10","USD","2703-10-1","Jd. Etelvina","1","78722"
"2703-21","U__","2703-21-0","Metrô Itaquera","0","81402"
"2703-22","U__","2703-22-0","Metrô Itaquera","0","81403"
"2704-10","USD","2704-10-0","Metrô Itaquera","0","70505"
"2704-10","USD","2704-10-1","Jd. Robru","1","79104"
"2705-10","USD","2705-10-0","Metrô Itaquera","0","70498"
"2705-10","USD","2705-10-1","Jd. Fanganielo","1","70499"
"2707-10","USD","2707-10-0","Metrô Itaquera","0","70500"
"2707-10","USD","2707-10-1","Chabilândia","1","70501"
"2707-31","U__","2707-31-0","Metrô Itaquera","0","81404"
"2708-10","USD","2708-10-0","Metrô Itaquera","0","70503"
"2708-10","USD","2708-10-1","Jd. Lajeado","1","70504"
"2709-10","USD","2709-10-0","Vl. União","0","72803"
"2709-31","USD","2709-31-0","Vl. União","0","59766"
"2710-10","USD","2710-10-0","Burgo Paulista","0","60535"
"2710-31","U__","2710-31-0","Term. A. E. Carvalho","0","63062"
"2711-10","USD","2711-10-0","Metrô Patriarca","0","80221"
"2711-10","USD","2711-10-1","Ponte Rasa","1","80222"
"2712-10","USD","2712-10-0","Shop. Metrô Itaquera","0","52736"
"2713-10","USD","2713-10-0","Chác. Bela Vista","0","79016"
"2714-10","USD","2714-10-0","Vl. Rui Barbosa","0","70203"
"2715-10","USD","2715-10-0","Metrô Patriarca","0","71278"
"2715-10","USD","2715-10-1","Vl. Sílvia","1","71894"
"2716-10","USD","2716-10-0","Metrô Penha","0","78998"
"2716-10","USD","2716-10-1","Chác. Cruz. Do Sul","1","78999"
"2717-10","USD","2717-10-0","Cangaíba","0","70590"
"2718-10","USD","2718-10-0","Metrô Penha","0","79000"
"2718-10","USD","2718-10-1","Vl. Sílvia","1","79603"
"2719-10","USD","2719-10-0","Metrô Vl. Matilde","0","71043"
"2719-10","USD","2719-10-1","Ermelino Matarazzo","1","71044"
"271A-10","USD","271A-10-0","Metrô Santana","0","81940"
"271A-10","USD","271A-10-1","Term. Penha","1","81941"
"271A-51","USD","271A-51-0","Metrô Santana","0","71142"
"271A-51","USD","271A-51-1","Cangaíba","1","71145"
"271C-10","USD","271C-10-0","Term. Princ. Isabel - Circular","0","82234"
"271F-10","USD","271F-10-0","Metrô Belém     ","0","60361"
"271F-10","USD","271F-10-1","Center Norte","1","60362"
"271M-10","USD","271M-10-0","Metrô Santana","0","63920"
"271M-10","USD","271M-10-1","Pq. Novo Mundo","1","53805"
"271P-10","USD","271P-10-0","Pça Do Correio","0","79860"
"271P-10","USD","271P-10-1","Cangaíba","1","79861"
