"fare_id","route_id","origin_id","destination_id","contains_id"
"Ônibus","4010-10","","",""
"Ônibus","4011-10","","",""
"Ônibus","4012-10","","",""
"Ônibus","4013-10","","",""
"Ônibus","4014-10","","",""
"Ônibus","4015-10","","",""
"Ônibus","4016-10","","",""
"Ônibus","4017-10","","",""
"Ônibus","4018-10","","",""
"Ônibus","4019-10","","",""
"Ônibus","4020-10","","",""
"Ônibus","4021-10","","",""
"Ônibus","4024-10","","",""
"Ônibus","4025-10","","",""
"Ônibus","4027-10","","",""
"Ônibus","4027-41","","",""
"Ônibus","4028-10","","",""
"Ônibus","4029-10","","",""
"Ônibus","4030-10","","",""
"Ônibus","4031-10","","",""
"Ônibus","4032-10","","",""
"Ônibus","4033-10","","",""
"Ônibus","4035-10","","",""
"Ônibus","4036-10","","",""
"Ônibus","4037-10","","",""
"Ônibus","403A-10","","",""
"Ônibus","4051-10","","",""
"Ônibus","4052-10","","",""
"Ônibus","4053-10","","",""
"Ônibus","4055-10","","",""
"Ônibus","4056-10","","",""
"Ônibus","407A-10","","",""
"Ônibus","407A-21","","",""
"Ônibus","407E-10","","",""
"Ônibus","407F-10","","",""
"Ônibus","407G-10","","",""
"Ônibus","407H-10","","",""
"Ônibus","407I-10","","",""
"Ônibus","407I-21","","",""
"Ônibus","407J-10","","",""
"Ônibus","407K-10","","",""
"Ônibus","407L-10","","",""
"Ônibus","407M-10","","",""
"Ônibus","407N-10","","",""
"Ônibus","407P-10","","",""
"Ônibus","407R-10","","",""
"Ônibus","407T-10","","",""
"Ônibus","407W-10","","",""
"Ônibus","407Y-10","","",""
"Ônibus","4085-10","","",""
"Ônibus","4086-10","","",""
"Ônibus","4087-10","","",""
"Ônibus","408A-10","","",""
"Ônibus","4092-10","","",""
"Ônibus","4093-10","","",""
"Ônibus","4111-10","","",""
"Ônibus","4112-10","","",""
"Ônibus","4113-10","","",""
"Ônibus","4114-10","","",""
"Ônibus","4115-10","","",""
"Ônibus","414P-10","","",""
"Ônibus","4210-10","","",""
"Ônibus","4221-10","","",""
"Ônibus","4222-10","","",""
"Ônibus","425E-10","","",""
"Ônibus","4284-10","","",""
"Ônibus","4286-10","","",""
"Ônibus","4288-10","","",""
"Ônibus","4310-10","","",""
"Ônibus","4310-21","","",""
"Ônibus","4311-10","","",""
"Ônibus","4312-10","","",""
"Ônibus","4312-21","","",""
"Ônibus","4313-10","","",""
"Ônibus","4314-10","","",""
"Ônibus","4314-21","","",""
"Ônibus","4315-10","","",""
"Ônibus","4491-10","","",""
"Ônibus","4706-10","","",""
"Ônibus","4708-10","","",""
"Ônibus","4709-10","","",""
"Ônibus","4716-10","","",""
"Ônibus","4717-10","","",""
